tfopwg_disp,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,st_tmag,st_dist,st_teff,st_logg,st_rad
non-candidate,2460115.853,3.6245513,3.042,1299,10.2934,249.826,6317,4.33,1.38
candidate,2458658.041,1.20928,1.886,11883.8,10.2398,161.932,5159.8,4.23,1.27
candidate,2460149.392,3.5187707,2.408,5634,7.2235,75.7145,6690,4.24,1.49
candidate,2459036.495,0.7724825,1.3744974,211.3168519,8.0465,237.593,8271,3.95,2.5027299
non-candidate,2460122.432,1.6268695,3.231,1502,10.3579,97.8115,5034,4.64,0.73
non-candidate,2458657.631,2.32439,4.453,2704.18,7.3163,177.741,8268.5,3.93,1.23434
non-candidate,2458663.152,13.5499,1.795,1180,9.7298,222.529,6209,4.09,1.63
non-candidate,2458659.069,4.43651,3.365,1520,8.7823,247.414,7101.9,3.91,2.32
candidate,2458327.053,3.372877,2.63426,17163.60419,12.1893,448.637,6050,4.45061,1.02
candidate,2460144.137,8.34998,1.836,16680,10.1429,58.2609,4236,4.52,0.74
candidate,2460126.924,4.0686405,1.8373729,2650.095001,10.1429,58.2609,4236,4.52,0.741921
candidate,2458711.595,0.5860366,0.8098934,410.5241553,9.2872,222.74,5579,3.67,2.39803
non-candidate,2460351.8,1.5502952,2.938,411,9.2293,286.668,7851,4.17,1.86
non-candidate,2458684.235,1.80709,3.297,450,9.11458,233.369,6244,3.84,2.2
non-candidate,2460333.438,18.6922101,7.765,11126,9.03609,170.732,6277,4.09,1.65
candidate,2460658.974,8.0277326,4.284,5705,9.02855,114.048,5962.7,4.38,1.15
candidate,2459612.448,12.5187279,5.38,2320,8.9361,84.5362,5729,4.47,0.98
candidate,2460366.027,6.2586065,3.201,813,8.9361,84.5362,5729,4.47,0.98
candidate,2459594.183,26.3208756,4.414,800,8.9361,84.5362,5729,4.47,0.98
candidate,2458697.756,18.795547,4.3425576,470.6731965,8.9361,84.5362,5729,4.47,0.977727
candidate,2459770.241,1.3206356,1.6000996,1052.4256,9.00558,419.435,4919.6,4.33,6.3070302
non-candidate,2458684.205,0.64971,2.076,620,8.90601,395.12,9994,4.02,2.59
candidate,2460549.446,4.4780798,4.513,1054,8.86193,238.726,7947,4.2,1.83
candidate,2458327.52,3.2887898,3.4367717,7005.72479,10.6103,216.526,5800,4.28004,1.24175
non-candidate,2460637.862,13.7431084,2.285,5688,8.88797,121.182,5941.5,4.33,1.34
non-candidate,2460289.874,16.9487087,4.2887767,156467.548,8.8523,97.3391,5894.7,4.37,1.1179
non-candidate,2460335.938,3.3686634,3.012,3288,8.64028,299.294,7518,3.82,2.68
non-candidate,2460352.734,11.2071839,4.366,3276,8.63287,191.984,6152,3.84,2.24
candidate,2460554.347,4.8878037,2.184,4279,8.5077,37.7647,4757.3,4.56,0.76
non-candidate,2458685.816,2.97164,1.534,7350,8.5011,438.395,8562.5,4.33,1.23434
non-candidate,2459420.415,0.660179,1.6349369,473.0939303,8.40386,411.307,8598.7,4.1,2.62432
non-candidate,2460331.316,10.9278415,2.468,2743,8.36544,218.258,6259,3.59,2.92
candidate,2460361.367,5.5514888,4.335,9493,7.9179,96.5173,6403.9,4.16,1.55
candidate,2459770.331,2.3202418,2.3817612,5082.941706,7.9172,632.553,8737.5,4.33,1.23434
candidate,2458329.903,4.7423709,2.4988145,12650.81104,13.0417,453.808,5377,4.42476,0.877585
candidate,2458683.458,1.4810903,4.1588291,6788.514539,7.58204,204.455,9435,4.11,2.28773
candidate,2460337.986,3.4741012,3.317,15748,7.55216,136.426,8894.8,4.38,1.62
non-candidate,2459392.715,6.5011911,5.5463587,4501.345406,8.0348,105.334,5485,4.33,1.23434
candidate,2460472.256,6.0360758,1.255,987,8.40534,147.134,6528.3,4.21,1.69
candidate,2460339.329,21.745537,4.196,659,9.3188,93.8819,5704,4.51,0.93
non-candidate,2458683.926,1.32003,3.175,552.468,9.711,365.008,5800.55,4.33,1.23434
non-candidate,2459443.85,1.6865822,2.429,1770,9.7032,6079.49,5800.55,4.33,1.23434
non-candidate,2459603.766,13.0727479,3.044,4080,9.6043,432.113,5709.8,3.37,3.59
non-candidate,2459446.176,2.9258727,4.075,6720,9.5967,365.008,4884.5,4.33,1.3
non-candidate,2458683.947,0.73774,0.636,524.852,9.5937,292.83,6449.5,3.94,2.1
candidate,2458326.689,2.7985802,2.3801043,16708.7152,11.0443,149.942,4920,4.49371,0.906655
non-candidate,2459446.147,2.3664127,2.591,300,9.577,2320.13,5800.55,4.33,1.23434
candidate,2460556.484,1.7635881,3.092,6650,10.2306,519.096,7986.1,4.33,1.23434
candidate,2460544.816,7.3166682,3.255,3210,9.65306,348.481,8730,4.33,1.23434
candidate,2459441.801,3.0771612,2.6914319,4703.284435,9.47751,148.342,9311.3,4.33,1.23434
non-candidate,2459822.313,3.2077145,2.708,9640,9.329701,827.868,5800.55,4.33,1.23434
candidate,2460352.823,2.2552845,2.05,20820,9.76703,126.261,5787,4.5,0.96
non-candidate,2460556.103,1.8824539,2.46,1391,9.7604,153.743,5900.4,4.39,1.13
non-candidate,2458689.116,15.196,1.792,1970,10.3874,209.618,5807,4.33,1.14
non-candidate,2460363.632,2.1358631,1.559,10325,10.381,274.162,5969,4.17,1.5
candidate,2460323.761,6.7075429,2.125,11920,10.6405,259,6134.3,4.33,1.24
candidate,2459063.656,3.5862962,3.3710943,5729.324686,11.7806,603.955,5704.8,3.84,2.00441
non-candidate,2460556.995,1.8296155,2.166,1406,10.349,880.107,7875,3.61,3.5
non-candidate,2460541.381,11.1876137,3.183,4924,10.3075,482.763,7266,4.06,2.05
non-candidate,2460634.946,7.8513949,6.835,22029,10.3018,875.061,5800.55,4.33,1.23434
candidate,2460341.784,7.0643978,2.424,8268,10.2938,132.353,5429.6,4.44,0.96
candidate,2460355.403,8.9534775,2.696,1136,10.2549,94.6375,5029.5,4.61,0.76
non-candidate,2459437.549,7.5022708,2.605,1760,10.2026,216.517,6229,4.31,1.27
candidate,2458695.362,14.0077666,5.8727493,5924.834967,10.1772,295.561,6557.7,4.18,1.57435
non-candidate,2460556.672,1.692892,2.886,1418,10.1617,602.899,9121.5,4.21,2.1
non-candidate,2460646.784,2.6652007,3.49,819,10.1358,36.7224,4043.4,4.69,0.56
candidate,2460365.037,1.2615323,1.039,2841,10.1313,86.444,4927.9,4.57,0.78
candidate,2460175.749,6.0344667,1.89,1800,9.179,94.1719,5586,4.36763,1.05
candidate,2460473.411,9.6867516,2.512,1669,10.112,72.0238,4738.1,4.59,0.73
candidate,2460556.242,2.1031647,5.059,7142,10.079,302.819,6122,3.93,1.93
non-candidate,2460386.222,7.6416041,2.654,6025,10.0049,365.008,6496.7,4.33,2.05
non-candidate,2460654.566,5.9294088,2.933,10226,9.9478,112.868,5095.6,4.33,1.06
candidate,2460558.35,5.7484439,1.76,1041,9.9469,58.5946,4534,4.61,0.69
non-candidate,2460532.183,1.1967018,1.879,824,9.94025,246.798,5997,4,1.73
non-candidate,2460649.255,11.2464616,7.391,7576,9.92402,294.85,6115.7,3.89,2.01
candidate,2460310.089,2.5941968,0.861,907,9.9002,221.071,6389,4.26,1.4
non-candidate,2458687.193,8.5112,3.486,4172.76,9.886581,347.452,8156,4.35,1.23434
candidate,2459441.286,3.9687994,1.07,1760,9.8744,365.008,5286.9,4.33,1.23434
candidate,2460189.428,5.5411114,2.467,633,9.2789,66.6187,5332,4.56429,0.82
candidate,2460038.721,10.6917268,3.002,535,9.2789,66.6187,5332,4.56429,0.82
candidate,2460553.885,3.6950015,4.515,7655,9.80529,280.948,7106.7,4.2,1.63
non-candidate,2459441.423,15.7335693,3.288,2540,9.7831,355.809,6800,3.91,2.21
candidate,2460524.906,45.9403293,3.768,14807,10.4999,283.025,6479.3,4.33,1.28
non-candidate,2460337.368,2.2219839,1.996,4394,10.4813,501.963,7166.8,4.33,1.87
candidate,2460367.072,2.3106428,1.294,6911,10.4782,149.667,5339.9,4.41,0.99
non-candidate,2458686.847,4.05135,2.4,1132.23,10.4717,500.014,4974.4,4.33,3.85
candidate,2459785.498,5.5376617,2.517,5390,10.4318,424.442,6689,3.96,2.06
candidate,2459787.132,4.5960377,4.744,5000,10.4247,405.634,7649,4.04,2.12
candidate,2460551.04,3.612771,4.142,11794,10.4219,470.878,8324,4.28,1.71
candidate,2460360.435,3.6714717,2.149,4340,10.4221,248.427,5618,4.06,1.54
candidate,2458332.083,11.535076,8.555958,2389.90616,7.1062,79.5702,5479.3,3.77,2.48771
non-candidate,2460365.996,0.8352406,1.043,2065,10.402,224.444,6105,4.31,1.24
candidate,2458411.671,2.4919771,1.4338141,2093.95942,10.9473,37.8871,3948,4.68962,0.482388
non-candidate,2458614.434,4.0887217,2.726775,878.134108,8.386,818.829,3773,4.438,0.577983
candidate,2458553.062,25.5195307,6.6877451,558.3758637,7.9995,64.9943,5742.22,4.29,1.17321
